p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
collinquaner,2018,36,219,47,2,4,1.423,28,18/06/1991,"191,00","79,00",Germany,Medium/Medium,"77,80","71,80","67,20",Forward,27,1.376,26,"52,92","41,00","26,00","21,65510814","3,0",2,0,219,41
connorwickham,2016,470,916,441,8,11,652,20,31/03/1993,"190,33","90,00",England,High/Medium,"60,67","73,50","71,50",Forward,23,,,,,,"24,84350128","3,5",2,,,
connorwickham,2018,160,916,91,6,10,652,20,31/03/1993,"190,33","90,00",England,High/Medium,"60,67","73,50","71,50",Forward,25,441,8,"55,13","470,00","8,00","24,84350128","3,5",2,1,916,470
connorwickham,2019,52,916,120,6,13,652,20,31/03/1993,"190,33","90,00",England,High/Medium,"60,67","73,50","71,50",Forward,26,532,14,"38,00","315,00","7,00","24,84350128","3,5",2,1,1.832,160
connorwickham,2020,171,916,0,0,3,652,20,31/03/1993,"190,33","90,00",England,High/Medium,"60,67","73,50","71,50",Forward,27,652,20,"32,60","227,33","6,67","24,84350128","3,5",2,0,2.748,52
conorhourihane,2020,13,13,232,4,15,1.837,31,2/02/1991,"180,83","63,33",Republic of Ireland,High/High,"67,50","74,33","72,00",Midfielder,29,,,,,,"19,36758054","4,0",3,,,
conortownsend,2020,69,69,2.355,25,27,2.355,25,4/03/1993,"183,00","73,00",England,Medium/Medium,"69,00","65,33","67,00",Defender,27,,,,,,"21,79820239","3,0",1,,,
costelpantilimon,2016,27,60,91,2,33,91,2,1/02/1987,"203,00","98,33",Romania,Medium/Medium,,,"74,00",,29,,,,,,"23,86210132","3,0",,,,
costelpantilimon,2017,14,60,0,0,3,91,2,1/02/1987,"203,00","98,33",Romania,Medium/Medium,,,"74,00",,30,91,2,"45,50","27,00","2,00","23,86210132","3,0",,0,60,27
craigcathcart,2016,82,324,1.226,15,20,7.634,87,6/02/1989,"189,33","79,67",Northern Ireland,Medium/Medium,"50,83","71,67","73,33",Defender,27,,,,,,"22,22401309","3,0",1,,,
craigcathcart,2017,211,324,525,7,9,7.634,87,6/02/1989,"189,33","79,67",Northern Ireland,Medium/Medium,"50,83","71,67","73,33",Defender,28,1.226,15,"81,73","82,00","15,00","22,22401309","3,0",1,0,324,82
craigcathcart,2019,31,324,2.625,29,36,7.634,87,6/02/1989,"189,33","79,67",Northern Ireland,Medium/Medium,"50,83","71,67","73,33",Defender,30,1.751,22,"79,59","146,50","11,00","22,22401309","3,0",1,1,648,211
craigdawson,2017,66,85,2.639,28,29,10.727,116,6/05/1990,"188,00","83,17",England,Medium/Medium,"64,00","74,83","72,17",Defender,27,,,,,,"23,53063226","3,0",1,,,
craigdawson,2019,19,85,2.545,29,34,10.727,116,6/05/1990,"188,00","83,17",England,Medium/Medium,"64,00","74,83","72,17",Defender,29,2.639,28,"94,25","66,00","28,00","23,53063226","3,0",1,0,85,66
cucomartina,2017,16,16,1.931,21,35,2.557,30,25/09/1989,"184,20","75,00",Curacao,Medium/Medium,"68,80","73,80","70,20",Defender,28,,,,,,"22,10456698","3,0",1,,,
curtisdavies,2016,58,446,2.242,26,28,2.242,26,15/03/1985,"188,00","86,83",England,Medium/Medium,"60,67","74,17","75,33",Defender,31,,,,,,"24,56805493","3,0",1,,,
dalestephens,2018,34,95,2.683,30,31,9.060,106,12/06/1989,"185,00","73,33",England,Medium/High,"61,17","75,00","73,50",Midfielder,29,,,,,,"21,42683224","3,5",3,,,
dalestephens,2019,26,95,2.674,33,35,9.060,106,12/06/1989,"185,00","73,33",England,Medium/High,"61,17","75,00","73,50",Midfielder,30,2.683,30,"89,43","34,00","30,00","21,42683224","3,5",3,0,95,34
dalestephens,2020,35,95,283,7,27,9.060,106,12/06/1989,"185,00","73,33",England,Medium/High,"61,17","75,00","73,50",Midfielder,31,5.357,63,"85,03","30,00","31,50","21,42683224","3,5",3,0,190,26
daleyblind,2017,89,237,387,7,18,2.321,30,9/03/1990,"180,00","72,00",Netherlands,High/Medium,"58,00","75,33","80,83",Defender,27,,,,,,"22,22222222","3,5",1,,,
danburn,2019,38,38,3.041,34,34,5.220,61,9/05/1992,"198,50","87,00",England,Low/Medium,"42,33","78,17","70,67",Defender,27,,,,,,"22,07995736","2,5",1,,,
dangosling,2018,72,266,1.843,25,26,6.729,104,1/02/1990,"183,00","79,00",England,Medium/High,"59,17","69,17","72,83",Midfielder,28,,,,,,"23,58983547","3,5",3,,,
dangosling,2019,194,266,1.345,24,27,6.729,104,1/02/1990,"183,00","79,00",England,Medium/High,"59,17","69,17","72,83",Midfielder,29,1.843,25,"73,72","72,00","25,00","23,58983547","3,5",3,0,266,72
danielamartey,2017,72,744,535,8,19,3.769,53,21/12/1994,"185,00","78,17",Ghana,Medium/High,"72,17","82,17","73,50",Defender,23,,,,,,"22,83905527","3,5",1,,,
danielamartey,2018,330,744,679,9,10,3.769,53,21/12/1994,"185,00","78,17",Ghana,Medium/High,"72,17","82,17","73,50",Defender,24,535,8,"66,88","72,00","8,00","22,83905527","3,5",1,0,744,72
danielamartey,2020,75,744,769,12,27,3.769,53,21/12/1994,"185,00","78,17",Ghana,Medium/High,"72,17","82,17","73,50",Defender,26,1.214,17,"71,41","201,00","8,50","22,83905527","3,5",1,1,1.488,330
danieljames,2019,19,65,2.402,33,37,3.359,48,10/11/1997,"172,50","76,00",Wales,High/Medium,"84,50","55,75","66,50",Midfielder,22,,,,,,"25,54085276","3,5",3,,,
danieljames,2020,27,65,957,15,27,3.359,48,10/11/1997,"172,50","76,00",Wales,High/Medium,"84,50","55,75","66,50",Midfielder,23,2.402,33,"72,79","19,00","33,00","25,54085276","3,5",3,0,65,19
danielsturridge,2016,70,270,834,20,27,2.001,53,1/09/1989,"184,00","76,00",England,Medium/Low,"82,25","67,75","82,25",Forward,27,,,,,,"22,44801512","2,5",2,,,
danielsturridge,2017,122,270,592,15,21,2.001,53,1/09/1989,"184,00","76,00",England,Medium/Low,"82,25","67,75","82,25",Forward,28,834,20,"41,70","70,00","20,00","22,44801512","2,5",2,0,270,70
dannydrinkwater,2016,7,427,2.602,29,29,3.496,46,5/03/1990,"177,17","73,67",England,Medium/Medium,"63,00","69,67","76,67",Midfielder,26,,,,,,"23,46967041","3,0",3,,,
dannydrinkwater,2017,130,427,572,12,20,3.496,46,5/03/1990,"177,17","73,67",England,Medium/Medium,"63,00","69,67","76,67",Midfielder,27,2.602,29,"89,72","7,00","29,00","23,46967041","3,0",3,0,427,7
dannydrinkwater,2018,127,427,0,0,1,3.496,46,5/03/1990,"177,17","73,67",England,Medium/Medium,"63,00","69,67","76,67",Midfielder,28,3.174,41,"77,41","68,50","20,50","23,46967041","3,0",3,1,854,130
dannydrinkwater,2019,123,427,322,5,16,3.496,46,5/03/1990,"177,17","73,67",England,Medium/Medium,"63,00","69,67","76,67",Midfielder,29,3.174,41,"77,41","88,00","13,67","23,46967041","3,0",3,1,1.281,127
dannyings,2018,106,455,1.696,24,26,7.175,99,23/07/1992,"178,00","73,00",England,High/High,"80,33","69,00","76,83",Forward,26,,,,,,"23,04002020","4,0",2,,,
dannyings,2020,61,455,2.265,29,29,7.175,99,23/07/1992,"178,00","73,00",England,High/High,"80,33","69,00","76,83",Forward,28,1.696,24,"70,67","106,00","24,00","23,04002020","4,0",2,0,455,106
dannyrose,2016,28,370,1.608,18,18,6.189,77,2/07/1990,"173,67","74,67",England,Medium/High,"78,83","75,33","79,67",Defender,26,,,,,,"24,75676114","3,5",1,,,
dannyrose,2016,28,370,1.608,18,18,6.189,77,2/07/1990,"173,67","74,67",England,Medium/High,"78,83","75,33","79,67",Midfielder,26,1.608,18,"89,33","28,00","18,00","24,75676114","3,5",3,0,370,28
dannyrose,2016,28,370,1.608,18,18,6.189,77,10/12/1993,"173,00","72,00",England,High/Low,"79,33","63,83","63,67",Defender,23,3.216,36,"89,33","28,00","18,00","24,05693475","3,0",1,0,740,28
dannyrose,2016,28,370,1.608,18,18,6.189,77,10/12/1993,"173,00","72,00",England,High/Low,"79,33","63,83","63,67",Midfielder,23,4.824,54,"89,33","28,00","18,00","24,05693475","3,0",3,0,1.110,28
dannyrose,2016,28,370,1.608,18,18,6.189,77,21/02/1988,"170,00","66,00",England,Medium/High,"61,67","63,67","63,33",Defender,28,6.432,72,"89,33","28,00","18,00","22,83737024","3,5",1,0,1.480,28
dannyrose,2016,28,370,1.608,18,18,6.189,77,21/02/1988,"170,00","66,00",England,Medium/High,"61,67","63,67","63,33",Midfielder,28,8.040,90,"89,33","28,00","18,00","22,83737024","3,5",3,0,1.850,28
dannyrose,2017,293,370,839,10,20,6.189,77,2/07/1990,"173,67","74,67",England,Medium/High,"78,83","75,33","79,67",Defender,27,9.648,108,"89,33","28,00","18,00","24,75676114","3,5",1,0,2.220,28
dannyrose,2017,293,370,839,10,20,6.189,77,2/07/1990,"173,67","74,67",England,Medium/High,"78,83","75,33","79,67",Midfielder,27,10.487,118,"88,87","65,86","16,86","24,75676114","3,5",3,1,2.590,293
dannyrose,2017,293,370,839,10,20,6.189,77,10/12/1993,"173,00","72,00",England,High/Low,"79,33","63,83","63,67",Defender,24,11.326,128,"88,48","94,25","16,00","24,05693475","3,0",1,1,2.960,293
dannyrose,2017,293,370,839,10,20,6.189,77,10/12/1993,"173,00","72,00",England,High/Low,"79,33","63,83","63,67",Midfielder,24,12.165,138,"88,15","116,33","15,33","24,05693475","3,0",3,1,3.330,293
dannyrose,2017,293,370,839,10,20,6.189,77,21/02/1988,"170,00","66,00",England,Medium/High,"61,67","63,67","63,33",Defender,29,13.004,148,"87,86","134,00","14,80","22,83737024","3,5",1,1,3.700,293
dannyrose,2017,293,370,839,10,20,6.189,77,21/02/1988,"170,00","66,00",England,Medium/High,"61,67","63,67","63,33",Midfielder,29,13.843,158,"87,61","148,45","14,36","22,83737024","3,5",3,1,4.070,293
dannyrose,2018,49,370,1.898,26,31,6.189,77,2/07/1990,"173,67","74,67",England,Medium/High,"78,83","75,33","79,67",Defender,28,14.682,168,"87,39","160,50","14,00","24,75676114","3,5",1,1,4.440,293
dannyrose,2018,49,370,1.898,26,31,6.189,77,2/07/1990,"173,67","74,67",England,Medium/High,"78,83","75,33","79,67",Midfielder,28,16.580,194,"85,46","151,92","14,92","24,75676114","3,5",3,0,4.810,49
dannyrose,2018,49,370,1.898,26,31,6.189,77,10/12/1993,"173,00","72,00",England,High/Low,"79,33","63,83","63,67",Defender,25,18.478,220,"83,99","144,57","15,71","24,05693475","3,0",1,0,5.180,49
dannyrose,2018,49,370,1.898,26,31,6.189,77,10/12/1993,"173,00","72,00",England,High/Low,"79,33","63,83","63,67",Midfielder,25,20.376,246,"82,83","138,20","16,40","24,05693475","3,0",3,0,5.550,49
dannyrose,2018,49,370,1.898,26,31,6.189,77,21/02/1988,"170,00","66,00",England,Medium/High,"61,67","63,67","63,33",Defender,30,22.274,272,"81,89","132,63","17,00","22,83737024","3,5",1,0,5.920,49
dannyrose,2018,49,370,1.898,26,31,6.189,77,21/02/1988,"170,00","66,00",England,Medium/High,"61,67","63,67","63,33",Midfielder,30,24.172,298,"81,11","127,71","17,53","22,83737024","3,5",3,0,6.290,49
dannysimpson,2017,38,38,2.418,28,30,5.879,69,4/01/1987,"176,50","78,75",England,Low/High,"69,00","74,25","73,50",Defender,30,,,,,,"25,27907294","3,0",1,,,
dannyward,2017,259,380,0,0,1,485,14,9/12/1990,"180,00","80,00",England,High/High,"73,83","69,33","68,17",Forward,27,,,,,,"24,69135802","4,0",2,,,
dannyward,2017,259,380,0,0,1,485,14,9/12/1990,"180,00","80,00",England,High/High,"73,83","69,33","68,17",Goalkeeper,27,0,0,,"259,00","0,00","24,69135802","4,0",0,1,380,259
dannyward,2017,259,380,0,0,1,485,14,22/06/1993,"191,00","88,00",Wales,Medium/Medium,,,"68,83",Forward,24,0,0,,"259,00","0,00","24,12214577","3,0",2,1,760,259
dannyward,2017,259,380,0,0,1,485,14,22/06/1993,"191,00","88,00",Wales,Medium/Medium,,,"68,83",Goalkeeper,24,0,0,,"259,00","0,00","24,12214577","3,0",0,1,1.140,259
dannyward,2018,50,380,485,14,54,485,14,9/12/1990,"180,00","80,00",England,High/High,"73,83","69,33","68,17",Forward,28,0,0,,"259,00","0,00","24,69135802","4,0",2,1,1.520,259
dannyward,2018,50,380,485,14,54,485,14,9/12/1990,"180,00","80,00",England,High/High,"73,83","69,33","68,17",Goalkeeper,28,485,14,"34,64","217,20","2,80","24,69135802","4,0",0,0,1.900,50
dannyward,2018,50,380,485,14,54,485,14,22/06/1993,"191,00","88,00",Wales,Medium/Medium,,,"68,83",Forward,25,970,28,"34,64","189,33","4,67","24,12214577","3,0",2,0,2.280,50
dannyward,2018,50,380,485,14,54,485,14,22/06/1993,"191,00","88,00",Wales,Medium/Medium,,,"68,83",Goalkeeper,25,1.455,42,"34,64","169,43","6,00","24,12214577","3,0",0,0,2.660,50
dannyward,2020,71,380,0,0,38,485,14,9/12/1990,"180,00","80,00",England,High/High,"73,83","69,33","68,17",Forward,30,1.940,56,"34,64","154,50","7,00","24,69135802","4,0",2,0,3.040,50
dannyward,2020,71,380,0,0,38,485,14,9/12/1990,"180,00","80,00",England,High/High,"73,83","69,33","68,17",Goalkeeper,30,1.940,56,"34,64","145,22","6,22","24,69135802","4,0",0,0,3.420,71
dannyward,2020,71,380,0,0,38,485,14,22/06/1993,"191,00","88,00",Wales,Medium/Medium,,,"68,83",Forward,27,1.940,56,"34,64","137,80","5,60","24,12214577","3,0",2,0,3.800,71
dannyward,2020,71,380,0,0,38,485,14,22/06/1993,"191,00","88,00",Wales,Medium/Medium,,,"68,83",Goalkeeper,27,1.940,56,"34,64","131,73","5,09","24,12214577","3,0",0,0,4.180,71
dannywelbeck,2016,3,408,796,16,16,4.773,94,26/11/1990,"185,00","73,00",England,High/High,"81,33","75,50","78,00",Forward,26,,,,,,"21,32943755","4,0",2,,,
dannywelbeck,2017,57,408,1.290,28,30,4.773,94,26/11/1990,"185,00","73,00",England,High/High,"81,33","75,50","78,00",Forward,27,796,16,"49,75","3,00","16,00","21,32943755","4,0",2,0,408,3
dannywelbeck,2018,203,408,182,8,10,4.773,94,26/11/1990,"185,00","73,00",England,High/High,"81,33","75,50","78,00",Forward,28,2.086,44,"47,41","30,00","22,00","21,32943755","4,0",2,0,816,57
dannywelbeck,2019,103,408,888,18,20,4.773,94,26/11/1990,"185,00","73,00",England,High/High,"81,33","75,50","78,00",Forward,29,2.268,52,"43,62","87,67","17,33","21,32943755","4,0",2,1,1.224,203
dannywelbeck,2020,42,408,1.617,24,26,4.773,94,26/11/1990,"185,00","73,00",England,High/High,"81,33","75,50","78,00",Forward,30,3.156,70,"45,09","91,50","17,50","21,32943755","4,0",2,0,1.632,103
dannywilliams,2017,183,366,1.206,20,26,1.312,25,8/03/1989,"182,00","78,00",United States,Medium/Medium,"75,00","80,00","70,50",Midfielder,28,,,,,,"23,54788069","3,0",3,,,
dannywilliams,2017,183,366,1.206,20,26,1.312,25,8/03/1989,"182,00","78,00",United States,Medium/Medium,"75,00","80,00","70,50",Midfielder,28,1.206,20,"60,30","183,00","20,00","23,54788069","3,0",3,1,366,183
dannywilliams,2017,183,366,1.206,20,26,1.312,25,25/01/1988,"185,00","77,00",England,Medium/Medium,"69,50","56,00","62,25",Midfielder,29,2.412,40,"60,30","183,00","20,00","22,49817385","3,0",3,1,732,183
dannywilliams,2017,183,366,1.206,20,26,1.312,25,25/01/1988,"185,00","77,00",England,Medium/Medium,"69,50","56,00","62,25",Midfielder,29,3.618,60,"60,30","183,00","20,00","22,49817385","3,0",3,1,1.098,183
dannywilliams,2018,183,366,106,5,10,1.312,25,8/03/1989,"182,00","78,00",United States,Medium/Medium,"75,00","80,00","70,50",Midfielder,29,4.824,80,"60,30","183,00","20,00","23,54788069","3,0",3,1,1.464,183
dannywilliams,2018,183,366,106,5,10,1.312,25,8/03/1989,"182,00","78,00",United States,Medium/Medium,"75,00","80,00","70,50",Midfielder,29,4.930,85,"58,00","183,00","17,00","23,54788069","3,0",3,1,1.830,183
dannywilliams,2018,183,366,106,5,10,1.312,25,25/01/1988,"185,00","77,00",England,Medium/Medium,"69,50","56,00","62,25",Midfielder,30,5.036,90,"55,96","183,00","15,00","22,49817385","3,0",3,1,2.196,183
dannywilliams,2018,183,366,106,5,10,1.312,25,25/01/1988,"185,00","77,00",England,Medium/Medium,"69,50","56,00","62,25",Midfielder,30,5.142,95,"54,13","183,00","13,57","22,49817385","3,0",3,1,2.562,183
darrenrandolph,2020,88,88,285,3,27,2.565,27,12/05/1987,"187,00","78,67",Republic of Ireland,Medium/Medium,,,"73,33",Goalkeeper,33,,,,,,"22,49611561","3,0",0,,,
darrongibson,2016,52,127,671,12,13,671,12,25/10/1987,"180,00","79,60",Republic of Ireland,Medium/Medium,"52,40","69,40","72,20",Midfielder,29,,,,,,"24,56790123","3,0",3,,,
daryljanmaat,2016,78,446,1.672,27,27,5.829,76,22/07/1989,"185,00","80,00",Netherlands,High/Medium,"71,17","77,50","76,67",Defender,27,,,,,,"23,37472608","3,5",1,,,
daryljanmaat,2017,26,446,1.917,23,35,5.829,76,22/07/1989,"185,00","80,00",Netherlands,High/Medium,"71,17","77,50","76,67",Defender,28,1.672,27,"61,93","78,00","27,00","23,37472608","3,5",1,0,446,78
daryljanmaat,2018,97,446,1.602,18,22,5.829,76,22/07/1989,"185,00","80,00",Netherlands,High/Medium,"71,17","77,50","76,67",Defender,29,3.589,50,"71,78","52,00","25,00","23,37472608","3,5",1,0,892,26
daryljanmaat,2019,92,446,638,8,12,5.829,76,22/07/1989,"185,00","80,00",Netherlands,High/Medium,"71,17","77,50","76,67",Defender,30,5.191,68,"76,34","67,00","22,67","23,37472608","3,5",1,0,1.338,97
davidbrooks,2018,88,483,2.338,30,33,2.854,39,8/07/1997,"179,60","61,20",Wales,Medium/Medium,"70,00","59,00","68,60",Midfielder,21,,,,,,"18,97312017","3,0",3,,,
davidbrooks,2019,325,483,516,9,9,2.854,39,8/07/1997,"179,60","61,20",Wales,Medium/Medium,"70,00","59,00","68,60",Midfielder,22,2.338,30,"77,93","88,00","30,00","18,97312017","3,0",3,0,483,88
davidbutton,2018,41,41,380,4,29,475,5,27/02/1989,"191,00","78,50",England,Medium/Medium,,,"68,17",Goalkeeper,29,,,,,,"21,51805049","3,0",0,,,
davidezappacosta,2018,35,351,145,4,23,1.315,26,11/06/1992,"182,50","70,33",Italy,High/High,"79,33","73,67","77,67",Defender,26,,,,,,"21,11715769","4,0",1,,,
davidmartin,2019,24,24,460,5,13,460,5,22/01/1986,"187,33","86,33",England,Medium/Medium,,,"66,67",Goalkeeper,33,,,,,,"24,60075227","3,0",0,,,
davidmcgoldrick,2019,60,78,1.889,28,29,4.410,63,29/11/1987,"183,00","74,00",Republic of Ireland,Medium/Medium,"68,50","68,17","72,00",Midfielder,32,,,,,,"22,09680791","3,0",3,,,
davidmcgoldrick,2020,18,78,2.521,35,37,4.410,63,29/11/1987,"183,00","74,00",Republic of Ireland,Medium/Medium,"68,50","68,17","72,00",Midfielder,33,1.889,28,"67,46","60,00","28,00","22,09680791","3,0",3,0,78,60
davidospina,2016,24,144,152,2,34,557,7,31/08/1988,"183,00","79,67",Colombia,Medium/Medium,,,"78,83",Goalkeeper,28,,,,,,"23,78890581","3,0",0,,,
davidospina,2017,31,144,405,5,34,557,7,31/08/1988,"183,00","79,67",Colombia,Medium/Medium,,,"78,83",Goalkeeper,29,152,2,"76,00","24,00","2,00","23,78890581","3,0",0,0,144,24
davidsilva,2017,11,140,2.555,29,30,9.854,123,13/12/1986,"174,50","74,50",Colombia,High/Medium,"72,00","74,00","72,33",Midfielder,31,,,,,,"24,46613739","3,5",3,,,
davidsilva,2018,33,140,2.504,33,35,9.854,123,13/12/1986,"174,50","74,50",Colombia,High/Medium,"72,00","74,00","72,33",Midfielder,32,2.555,29,"88,10","11,00","29,00","24,46613739","3,5",3,0,140,11
davidsilva,2019,29,140,1.907,27,33,9.854,123,13/12/1986,"174,50","74,50",Colombia,High/Medium,"72,00","74,00","72,33",Midfielder,33,5.059,62,"81,60","22,00","31,00","24,46613739","3,5",3,0,280,33
davyklaassen,2017,15,38,270,7,12,270,7,21/02/1993,"179,33","70,67",Netherlands,High/High,"69,67","76,50","79,50",Midfielder,24,,,,,,"21,97316234","4,0",3,,,
deandreyedlin,2017,43,327,3.012,34,35,7.108,85,9/07/1993,"172,50","73,17",United States,High/Medium,"92,67","72,67","73,83",Defender,24,,,,,,"24,58867185","3,5",1,,,
deandreyedlin,2018,18,327,2.640,29,34,7.108,85,9/07/1993,"172,50","73,17",United States,High/Medium,"92,67","72,67","73,83",Defender,25,3.012,34,"88,59","43,00","34,00","24,58867185","3,5",1,0,327,43
deandreyedlin,2019,184,327,999,16,25,7.108,85,9/07/1993,"172,50","73,17",United States,High/Medium,"92,67","72,67","73,83",Defender,26,5.652,63,"89,71","30,50","31,50","24,58867185","3,5",1,0,654,18
deandreyedlin,2020,44,327,457,6,9,7.108,85,9/07/1993,"172,50","73,17",United States,High/Medium,"92,67","72,67","73,83",Defender,27,6.651,79,"84,19","81,67","26,33","24,58867185","3,5",1,1,981,184
deanhenderson,2020,29,29,1.190,13,38,4.610,49,12/03/1997,"190,00","84,00",England,Medium/Medium,,,"68,20",Goalkeeper,23,,,,,,"23,26869806","3,0",0,,,
deanmarney,2016,337,371,1.845,21,21,1.845,21,31/01/1984,"182,20","73,20",England,Medium/High,"61,20","76,40","70,00",Midfielder,32,,,,,,"22,05029153","3,5",3,,,
deanmarney,2017,34,371,0,0,11,1.845,21,31/01/1984,"182,20","73,20",England,Medium/High,"61,20","76,40","70,00",Midfielder,33,1.845,21,"87,86","337,00","21,00","22,05029153","3,5",3,1,371,337
dejanlovren,2016,7,269,2.689,29,31,6.811,81,5/07/1989,"188,00","84,00",Croatia,Medium/High,"55,80","79,80","80,60",Defender,27,,,,,,"23,76641014","3,5",1,,,
dejanlovren,2017,13,269,2.259,29,34,6.811,81,5/07/1989,"188,00","84,00",Croatia,Medium/High,"55,80","79,80","80,60",Defender,28,2.689,29,"92,72","7,00","29,00","23,76641014","3,5",1,0,269,7
dejanlovren,2018,138,269,1.041,13,19,6.811,81,5/07/1989,"188,00","84,00",Croatia,Medium/High,"55,80","79,80","80,60",Defender,29,4.948,58,"85,31","10,00","29,00","23,76641014","3,5",1,0,538,13
dejanlovren,2019,51,269,822,10,20,6.811,81,5/07/1989,"188,00","84,00",Croatia,Medium/High,"55,80","79,80","80,60",Defender,30,5.989,71,"84,35","52,67","23,67","23,76641014","3,5",1,1,807,138
delealli,2016,10,194,3.172,37,37,10.743,138,11/04/1996,"187,83","78,17",England,High/Medium,"73,50","76,50","80,67",Midfielder,20,,,,,,"22,15522990","3,5",3,,,
delealli,2017,13,194,3.075,36,36,10.743,138,11/04/1996,"187,83","78,17",England,High/Medium,"73,50","76,50","80,67",Midfielder,21,3.172,37,"85,73","10,00","37,00","22,15522990","3,5",3,0,194,10
delealli,2018,104,194,1.898,25,25,10.743,138,11/04/1996,"187,83","78,17",England,High/Medium,"73,50","76,50","80,67",Midfielder,22,6.247,73,"85,58","11,50","36,50","22,15522990","3,5",3,0,388,13
delealli,2019,49,194,1.939,25,28,10.743,138,11/04/1996,"187,83","78,17",England,High/Medium,"73,50","76,50","80,67",Midfielder,23,8.145,98,"83,11","42,33","32,67","22,15522990","3,5",3,0,582,104
delealli,2020,18,194,659,15,23,10.743,138,11/04/1996,"187,83","78,17",England,High/Medium,"73,50","76,50","80,67",Midfielder,24,10.084,123,"81,98","44,00","30,75","22,15522990","3,5",3,0,776,49
demaraigray,2018,31,31,2.072,34,35,5.756,121,28/06/1996,"179,67","71,33",England,Medium/Medium,"88,33","54,33","72,83",Forward,22,,,,,,"22,09823042","3,0",2,,,
demeacoduhaney,2018,72,72,45,1,2,45,1,13/10/1998,"180,00","70,00",England,High/Medium,"71,00","64,00","61,00",Defender,20,,,,,,"21,60493827","3,5",1,,,
denisodoi,2018,15,31,2.744,31,34,3.029,34,27/05/1988,"178,33","69,33",Belgium,High/High,"82,00","70,00","71,00",Defender,30,,,,,,"21,80103066","4,0",1,,,
dennispraet,2019,4,154,1.205,27,34,1.948,42,14/05/1994,"181,00","78,00",Belgium,High/Medium,"71,67","65,33","76,50",Midfielder,25,,,,,,"23,80879705","3,5",3,,,
dennispraet,2020,85,154,743,15,25,1.948,42,14/05/1994,"181,00","78,00",Belgium,High/Medium,"71,67","65,33","76,50",Midfielder,26,1.205,27,"44,63","4,00","27,00","23,80879705","3,5",3,0,154,4
dennissrbeny,2019,86,153,78,8,18,78,8,5/05/1994,"190,00","83,00",Germany,High/Medium,"65,25","70,00","66,00",Forward,25,,,,,,"22,99168975","3,5",2,,,
diafrasakho,2016,337,477,191,4,5,550,18,24/12/1989,"184,00","79,00",Senegal,High/Medium,"74,60","72,20","74,80",Forward,27,,,,,,"23,33412098","3,5",2,,,
diafrasakho,2017,18,477,359,14,18,550,18,24/12/1989,"184,00","79,00",Senegal,High/Medium,"74,60","72,20","74,80",Forward,28,191,4,"47,75","337,00","4,00","23,33412098","3,5",2,1,477,337
dieumercimbokani,2016,146,266,808,12,17,808,12,22/11/1985,"185,00","73,00",DR Congo,High/Medium,"72,33","76,00","78,33",Forward,31,,,,,,"21,32943755","3,5",2,,,
dimitripayet,2016,14,118,1.587,18,18,1.587,18,29/03/1987,"175,00","77,00",France,High/Low,"73,83","68,33","83,00",Midfielder,29,,,,,,"25,14285714","3,0",3,,,
divockorigi,2016,14,44,1.581,34,38,3.022,84,18/04/1995,"186,00","75,00",Belgium,High/Medium,"82,67","73,00","77,33",Forward,21,,,,,,"21,67880680","3,5",2,,,
divockorigi,2017,18,44,14,1,2,3.022,84,18/04/1995,"186,00","75,00",Belgium,High/Medium,"82,67","73,00","77,33",Forward,22,1.581,34,"46,50","14,00","34,00","21,67880680","3,5",2,0,44,14
divockorigi,2019,12,44,804,28,37,3.022,84,18/04/1995,"186,00","75,00",Belgium,High/Medium,"82,67","73,00","77,33",Forward,24,1.595,35,"45,57","16,00","17,50","21,67880680","3,5",2,0,88,18
domingosquina,2018,91,184,366,8,19,404,12,18/11/1999,"175,00","65,75",Portugal,Medium/Medium,"71,25","47,75","64,25",Midfielder,19,,,,,,"21,46938776","3,0",3,,,
domingosquina,2019,36,184,38,4,16,404,12,18/11/1999,"175,00","65,75",Portugal,Medium/Medium,"71,25","47,75","64,25",Midfielder,20,366,8,"45,75","91,00","8,00","21,46938776","3,0",3,0,184,91
dominicsolanke,2018,157,201,382,10,11,2.826,63,14/09/1997,"186,00","77,50",England,High/Medium,"71,17","63,17","68,83",Forward,21,,,,,,"22,40143369","3,5",2,,,
donnyvandebeek,2020,14,78,601,19,34,601,19,18/04/1997,"183,33","74,33",Netherlands,Medium/Medium,"65,17","73,33","75,50",Midfielder,23,,,,,,"22,11570248","3,0",3,,,
duncanwatmore,2016,286,732,1.060,14,14,1.060,14,8/03/1994,"175,00","72,00",England,High/Medium,"79,80","57,80","67,20",Forward,22,,,,,,"23,51020408","3,5",2,,,
dusantadic,2016,25,36,2.496,33,33,5.374,69,20/11/1988,"181,00","76,00",Serbia,Medium/Medium,"69,67","67,00","80,83",Midfielder,28,,,,,,"23,19831507","3,0",3,,,
